,EAR,MAR,TIME
0,0.23968849800273845,0.40410352085392204,22:20:51.362942
1,0.28766497848459394,0.26666666666666666,22:20:51.496407
2,0.32382796641831574,0.285354109927885,22:20:51.648851
3,0.2744953448751711,0.4415403750411774,22:20:51.906313
4,0.24564426333242112,0.5066013009061856,22:20:52.045496
5,0.2502431538622452,0.43743685418725536,22:20:52.172261
6,0.2567946889483892,0.21573786516665266,22:20:52.305470
7,0.310507544611237,0.3720759220056127,22:20:52.440734
8,0.28621132197188903,0.5,22:20:52.571575
9,0.3027507702666272,0.16666666666666669,22:20:52.704292
